title,url,synopsis,genre,country,year
F1 더 무비,https://pedia.watcha.com/ko-KR/contents/m53mk7n,최고가 되지 못한 전설 VS 최고가 되고 싶은 루키 한때 주목받는 유망주였지만 끔찍한 사고로 F1®에서 우승하지 못하고 한순간에 추락한 드라이버 '소니 헤이스'(브래드 피트). 그의 오랜 동료인 '루벤 세르반테스'(하비에르 바르뎀)에게 레이싱 복귀를 제안받으며 최하위 팀인 APXGP에 합류한다. 그러나 팀 내 떠오르는 천재 드라이버 '조슈아 피어스'(댐슨 이드리스)와 '소니 헤이스'의 갈등은 날이 갈수록 심해지고. 설상가상 우승을 향한 APXGP 팀의 전략 또한 번번이 실패하며 최하위권을 벗어나지 못하고 고전하는데··· 빨간 불이 꺼지고 운명을 건 레이스가 시작된다!,스포츠/드라마,미국,2025
미션 임파서블: 파이널 레코닝,https://pedia.watcha.com/ko-KR/contents/m5Z37NR,"디지털상의 모든 정보를 통제할 수 있는 사상 초유의 무기로 인해 전 세계 국가와 조직의 기능이 마비되고, 인류 전체가 위협받는 절체절명의 위기가 찾아온다. 이를 막을 수 있는 건 오직 존재 자체가 기밀인 ‘에단 헌트’와 그가 소속된 IMF(Impossible Mission Force)뿐이다. 무기를 무력화하는 데 반드시 필요한 키를 손에 쥔 ‘에단 헌트’. 오랜 동료 ‘루터’와 ‘벤지’, 그리고 새로운 팀원이 된 ‘그레이스’, ‘파리’, ‘드가’와 함께 지금껏 경험했던 그 어떤 상대보다도 강력한 적에 맞서 모두의 운명을 건 불가능한 미션에 뛰어든다! 모든 선택이 향하는 단 하나의 미션!",액션/모험/스릴러/미스터리,미국,2025
미션 임파서블: 데드 레코닝 PART ONE,https://pedia.watcha.com/ko-KR/contents/mWpwjrM,"가장 위험한 작전, 그의 마지막 선택 모든 인류를 위협할 새로운 무기를 추적하게 된 에단 헌트(톰 크루즈)와 IMF팀은 이 무기가 인류의 미래를 통제할 수 있다는 사실을 알게 된다. 전 세계가 위태로운 상황에 처한 가운데, 이를 추적하던 에단 헌트에게 어둠의 세력까지 접근하고 마침내 미스터리하고 강력한 빌런과 마주하게 된 그는 가장 위험한 작전을 앞두고 자신이 아끼는 사람들의 생명과 중요한 임무 사이에서 선택을 해야 하는 상황에 놓이게 되는데…",액션/모험/스릴러,미국,2023
기사 윌리엄,https://pedia.watcha.com/ko-KR/contents/mOb4a15,"14세기 유럽, 가난한 지붕 수리공의 아들, 윌리엄(헤스 레저)은 자신이 주인으로 모시던 기사가 어느날 마창 대회 도중 심장마비로 죽은 것을 발견한다. 어릴 적부터 기사가 꿈이었던 그는 귀족들에게만 참가 자격이 있던 대회의 규칙상 신분을 속이고 얼떨결에 대회에 참가해 우승을 하게 된다. 이때부터 자신을 지지하는 동료 롤랜드(마크 애디), 와트(알란 튜딕)와 더불어 창술과 마창 등 담력을 겨루는 혹독한 훈련에 돌입한 윌리엄. 도중에 시인이라 자칭하는 도박꾼 초서(폴 베타니)까지 합세해 기사 울리히로 게재 된 가짜 기사 신분 증명서까지 만들고 대회가 열리는 도시를 찾아 대장정을 시작한다. 결투는 승승장구. 그는 세상의 모든 사람들에게 영웅이란 칭호를 받으며 인기와 찬사를 한몸에 받는다. 한편 윌리엄은 대회 중간 관중으로 참석한 아름다운 흑발의 여성 죠슬린(샤닌 소사먼)에게 한눈에 반하게 되고 그녀가 상류귀족의 신분을 가졌음을 알게 된다. 윌리엄을 진짜 기사 울리히로 알고 있는 조슬린 또한 그의 천진함과 남자다운 기개에 점점 끌리게 되는데...",액션/로맨스/모험,미국,2001
페이스 오프,https://pedia.watcha.com/ko-KR/contents/mAd738d,FBI요원 숀(존 트라볼타)은 자신의 목숨을 노리던 정부 테러범 캐스터(니콜라스 케이지)에게 아들 마이키를 살해당한다. 8년간의 끈질긴 추격 끝에 국외로 탈출하려던 캐스터를 잡은 숀. 그러나 악몽은 이제부터 시작이다. 체포 순간 코마에 빠져 의식불명이 된 캐스터가 도주 직전 엄청난 양의 생화학 폭탄을 LA 어딘가에 숨겨놓은 것이다. 숀은 감옥에 갇힌 캐스터의 동생에게서 정보를 빼내기 위해 FBI의 최첨단 의료진의 도움을 받아 꿈 속에서도 저주하던 아들의 살해범 캐스터와 얼굴을 바꿀 수 밖에 없게 된다.,액션/범죄/SF/스릴러,미국,1997
글래디에이터 Ⅱ,https://pedia.watcha.com/ko-KR/contents/mdB7Joq,"로마의 영웅이자 최고의 검투사였던 ‘막시무스’가 콜로세움에서 죽음을 맞이한 뒤 20여 년이 흐른 후. 쌍둥이 황제 ‘게타’와 ‘카라칼라’의 폭압 아래 시민을 위한 자유로운 나라 ‘로마의 꿈’은 잊힌 지 오래다. 한편 ‘아카시우스’ 장군이 이끄는 로마군에 대패한 후 모든 것을 잃고 노예로 전락한 ‘루시우스’는 강한 권력욕을 지닌 ‘마크리누스’의 눈에 띄어 검투사로 발탁된다. 로마를 향한 걷잡을 수 없는 분노, 타고난 투사의 기질로 콜로세움에 입성하게 된 ‘루시우스’는 결투를 거듭하며 자신이 진짜 누구인지 알게 되고 마침내 로마의 운명을 건 결전을 준비하게 되는데...! “나는 권력을 위해 싸우지 않는다!” 역사로 기억될 새로운 반란이 시작된다!",액션/시대극/드라마/모험,"미국, 영국",2024
툼레이더,https://pedia.watcha.com/ko-KR/contents/m5nQKgV,"라라 크로프트(알리시아 비칸데르)는 늘 주변 사람들에게 자유분방하고 활동적인 밝은 모습을 보여주지만 사실 7년 전 실종된 탐험가였던 아버지에 대한 아픔을 가지고 있다. 우연히 아버지가 남긴 미스터리한 단서를 발견한 라라는 아버지가 어딘가에 반드시 살아 있을 것이라는 굳은 믿음으로 전설의 섬에 있는 '죽음의 신'의 무덤을 찾아 나선다. 위험한 모험의 문이 열리고, 무덤 속에 숨겨진 퍼즐을 풀어나갈수록 라라 자신도 몰랐던 전사의 본능이 깨어난다.",액션/판타지/드라마/모험,미국,2018
007 살인번호,https://pedia.watcha.com/ko-KR/contents/mOo1qL5,제임스 본드 시리즈의 첫편. 본드(숀 코너리 분)는 영국의 비밀단체 요원의 불가사이한 실종사건을 수사하기 위해 자마이카로 보내진다. 그의 인생에서의 몇 번의 시도와 많은 불길한 조짐들이 007요원을 사악한 노(조세프 위즈맨 분)박사가 거주하는 은밀한 섬으로 이끌고...본드는 미모의 순수한 여인을 만나고 그들은 곧 냉혹한 과학자의 마수에 걸려들게 된다. 그는 그의 음모를 저지하려는 세력을 제거하려하는데...,스릴러/액션,영국,1962
007 골드핑거,https://pedia.watcha.com/ko-KR/contents/m5roQVW,"영국 국적의 골드핑거(Auric Goldfinger: 거트 프로브 분)는 정식 금매매업자이며 국제 보석상이다. 그가 보유하고 있는 영국의 상당량의 금을 외국으로 반출시킨다는 정보는 있으나 증거가 없는 영국 은행에서는 007(James Bond: 숀 코넬리 분)에게 증거를 찾도록 M(M: 버나드 리 분)을 통해 임무를 내린다. 명령을 받은 007은 그에게 접근하여 두번의 골탕과 금전적 손실을 입히나 그 대가로 매스터슨(Jill Masterson: 셜리 엣톤 분 / Tilly Masterson: 타니아 말렛 분) 자매가 죽음을 당한다. 제네바까지 쫓아간 007은 골드핑거의 고급승용차인 롤스로이스 팬텀 3의 보디를 금으로 만들어 밀수한다는 사실을 알아낸다. 허나 그 와중에 007은 잡히게 되고 레이저의 위협도 받게 되는데. [스포일러] 미국, 볼티모어의 골드핑거 목장으로 끌려가게 된 007은 골드핑거의 개인 조종사인 푸시(Pussy Galore: 허노어 블랙맨 분)를 알게 된다. 007은 여기서 골드핑거의 가공할 계획인 그랜드슬램을 알게 된다. 미국의 은행 준비금인 금괴 150억불어치인 1만5백톤이 보관된 켄터키주의 포트녹스에 중국으로부터 빼낸 원자탄을 터뜨려 모든 금괴를 58년간 방사능에 오염되게하여 서방세계의 경제를 혼란케하고 자기의 금값을 높이려는 계획이다. 그랜드슬램은 007에 의해 실패하고 골드핑거는 푸시를 인질로 도망친다. 백악관으로 가는 특별기 안에 푸시를 데리고 숨어있던 골드핑거는 007을 총으로 위협하여 쿠바로 끌고가려하나 둘은 최후의 격투를 벌이게 되고 그 와중에 발사된 총알로 창문이 깨져서 골드핑거는 기압차로 빨려나간다. 추락하는 비행기에서 푸시를 데리고 탈출한 007은 안도의 키스를 나눈다.",액션/스릴러,영국,1964
007 문레이커,https://pedia.watcha.com/ko-KR/contents/mO0AmVd,"미국에서 영국으로 공수 중이던 문레이커가 공중에서 탈취를 당한다. 조사를 맡은 007(James Bond: 로저 무어 분)은 문레이커를 개발, 제조한 장본인인 드랙스(Drax: 미쉘 론스데일 분)가 배후의 인물임을 알아낸다. 드랙스 산업기지에 위장 취업한 CIA 요원 굿헤드(Holly Goodhead: 루이스 차일드 분)와 연합으로 조사하던 중 드랙스가 인간만을 죽이는 독개스로 지구를 깨끗이 청소한 뒤 선택받은 젊은 남녀들로 신인류 제국을 건설하려는 야망을 갖고 일을 벌이고 있는 것을 알아내는데.",액션,영국,1979
007 언리미티드,https://pedia.watcha.com/ko-KR/contents/m5m1xD5,"제5대 제임스 본드(피어스 브로스넌), 석유 재벌의 돈을 운반하던 중, 폭발사고를 당하지만, 무사히 귀향한다. 한 번 유괴된 적이 있는 석유 재벌의 딸(소피 마르소)을 보호하라는 명령을 받지만 알고 보니 유괴한 남자와 사랑에 빠져 제임스 본드를 비롯한 정의의 사람들을 농락한 것이다. 제임스 본드의 상관에게 도움을 청하는 척 그녀를 가두고 제임스 본드까지 죽이려 하나, 결국 제임스 본드는 모든 일을 해결한다.",모험/액션/스릴러,"영국, 미국",1999
007 카지노 로얄,https://pedia.watcha.com/ko-KR/contents/mYdEMpd,"두려움은 없다! 새로운 살인면허 007 아직 영국첩보국 MI6의 평범한 요원이던 제임스 본드(다니엘 크레이그). 체코에서의 위험한 암살을 마치고 007로 승격된 그에게 첫번째 임무가 주어진다. 국제 테러조직의 자금줄로 알려진 수수께끼의 인물 르쉬프(매즈 미켈슨)의 배후를 밝혀내는 것. 마다가스카에서 작전을 수행하던 007은 르쉬프가 몬테카를로의 ‘카지노 로얄’에서 무제한 배팅이 가능한 ‘홀뎀포커’를 통해 대규모 테러자금을 모으려는 음모를 밝혀내는데… 최초의 임무, 최후의 사랑… 세계의 운명을 내건 게임이 시작된다! MI6의 상관 M(쥬디 덴치)는 제임스 본드의 위장 잠입과 자금 관리를 위해 베스퍼 그린(에바 그린)를 파견하고, 서로의 능력을 의심하던 두 사람 사이에 는 팽팽한 긴장감이 감돌지만, 테러조직의 위협을 함께 겪으며 차츰 애틋한 연인관계로 발전한다. 하지만 007 때문에 신형항공기 폭파를 통해 주가를 조작하려던 계획이 어긋나면서 테러조직의 압박으로 다급해진 르쉬프는 극비 프로젝트 ‘엘립시스’를 가동시키기에 이르는데…",액션/모험/스릴러,"영국, 체코, 미국, 독일, 바하마",2006
